date,marriage_licenses
2011-01-01,80
2011-01-01,136
2011-01-01,159
2011-01-01,367
2011-02-01,109
2011-02-01,150
2011-02-01,154
2011-02-01,383
2011-03-01,177
2011-03-01,231
2011-03-01,213
2011-03-01,589
2011-04-01,178
2011-04-01,277
2011-04-01,261
2011-04-01,660
2011-05-01,263
2011-05-01,376
2011-05-01,375
2011-05-01,871
2011-06-01,255
2011-06-01,365
2011-06-01,334
2011-06-01,870
2011-07-01,238
2011-07-01,364
2011-07-01,352
2011-07-01,989
2011-08-01,257
2011-08-01,366
2011-08-01,345
2011-08-01,965
2011-09-01,152
2011-09-01,255
2011-09-01,276
2011-09-01,638
2011-10-01,126
2011-10-01,201
2011-10-01,218
2011-10-01,468
2011-11-01,103
2011-11-01,191
2011-11-01,182
2011-11-01,340
2011-12-01,109
2011-12-01,171
2011-12-01,149
2011-12-01,356
2012-01-01,115
2012-01-01,176
2012-01-01,171
2012-01-01,440
2012-02-01,134
2012-02-01,195
2012-02-01,160
2012-02-01,390
2012-03-01,183
2012-03-01,234
2012-03-01,243
2012-03-01,567
2012-04-01,194
2012-04-01,225
2012-04-01,252
2012-04-01,561
2012-05-01,217
2012-05-01,294
2012-05-01,332
2012-05-01,807
2012-06-01,262
2012-06-01,353
2012-06-01,340
2012-06-01,888
2012-07-01,269
2012-07-01,404
2012-07-01,371
2012-07-01,971
2012-08-01,251
2012-08-01,353
2012-08-01,346
2012-08-01,980
2012-09-01,132
2012-09-01,233
2012-09-01,215
2012-09-01,563
2012-10-01,156
2012-10-01,208
2012-10-01,215
2012-10-01,486
2012-11-01,85
2012-11-01,180
2012-11-01,170
2012-11-01,391
2012-12-01,99
2012-12-01,163
2012-12-01,158
2012-12-01,365
2013-01-01,91
2013-01-01,169
2013-01-01,138
2013-01-01,365
2013-02-01,90
2013-02-01,163
2013-02-01,126
2013-02-01,346
2013-03-01,130
2013-03-01,217
2013-03-01,188
2013-03-01,455
2013-04-01,177
2013-04-01,298
2013-04-01,219
2013-04-01,666
2013-05-01,223
2013-05-01,310
2013-05-01,300
2013-05-01,748
2013-06-01,212
2013-06-01,286
2013-06-01,303
2013-06-01,778
2013-07-01,258
2013-07-01,450
2013-07-01,319
2013-07-01,972
2013-08-01,244
2013-08-01,324
2013-08-01,322
2013-08-01,931
2013-09-01,157
2013-09-01,232
2013-09-01,233
2013-09-01,607
2013-10-01,121
2013-10-01,163
2013-10-01,208
2013-10-01,448
2013-11-01,92
2013-11-01,162
2013-11-01,140
2013-11-01,315
2013-12-01,89
2013-12-01,146
2013-12-01,130
2013-12-01,314
2014-01-01,85
2014-01-01,186
2014-01-01,139
2014-01-01,375
2014-02-01,93
2014-02-01,134
2014-02-01,126
2014-02-01,364
2014-03-01,151
2014-03-01,201
2014-03-01,180
2014-03-01,530
2014-04-01,151
2014-04-01,240
2014-04-01,229
2014-04-01,674
2014-05-01,219
2014-05-01,318
2014-05-01,298
2014-05-01,847
2014-06-01,240
2014-06-01,309
2014-06-01,315
2014-06-01,942
2014-07-01,252
2014-07-01,348
2014-07-01,338
2014-07-01,1024
2014-08-01,239
2014-08-01,351
2014-08-01,288
2014-08-01,967
2014-09-01,169
2014-09-01,228
2014-09-01,225
2014-09-01,658
2014-10-01,126
2014-10-01,180
2014-10-01,206
2014-10-01,489
2014-11-01,77
2014-11-01,138
2014-11-01,111
2014-11-01,347
